,poems,class,Emotions
10,"
Tonight

Where are you now? Who lies beneath your spell tonight? Whom else from rapture's road will you expel tonight?
Those ""Fabrics of Cashmere--"" ""to make Me beautiful--"" ""Trinket""--to gem--""Me to adorn--How tell""--tonight?
I beg for haven: Prisons, let open your gates-- A refugee from Belief seeks a cell tonight.
God's vintage loneliness has turned to vinegar-- All the archangels--their wings frozen--fell tonight.
Lord, cried out the idols, Don't let us be broken; Only we can convert the infidel tonight.
Mughal ceilings, let your mirrored convexities multiply me at once under your spell tonight.
He's freed some fire from ice in pity for Heaven. He's left open--for God--the doors of Hell tonight.
In the heart's veined temple, all statues have been smashed. No priest in saffron's left to toll its knell tonight.
God, limit these punishments, there's still Judgment Day-- I'm a mere sinner, I'm no infidel tonight.
Executioners near the woman at the window. Damn you, Elijah, I'll bless Jezebel tonight.
The hunt is over, and I hear the Call to Prayer fade into that of the wounded gazelle tonight.
My rivals for your love--you've invited them all? This is mere insult, this is no farewell tonight.
And I, Shahid, only am escaped to tell thee-- God sobs in my arms. Call me Ishmael tonight.
",i,Surprise
11,"
Vacating an Apartment

Efficient as Fate, each eye a storm trooper,
the cleaners wipe my smile with Comet fingers and tear the plaster off my suicide note.
They learn everything from the walls' eloquent tongues.
Now, quick as genocide, they powder my ghost for a cinnamon jar.
They burn my posters (India and Heaven in flames),
whitewash my voicestains,
make everything new, clean as Death.
When the landlord brings new tenants, even Memory is a stranger.
The woman, her womb solid with the future, instructs her husband's eyes to clutch insurance policies.
They ignore my love affair with the furniture, the corner table that memorized my crossed-out lines.
Oh, she's beautiful, a hard-nippled Madonna.
The landlord gives them my autopsy;
they sign the lease. The room is beating with bottled infants, and I've stopped beating. I'm moving out holding tombstones in my hands. 
",i,Fear
12,"
Even The Rain

What will suffice for a true-love knot? Even the rain? But he has bought grief's lottery, bought even the rain.
our glosses / wanting in this world   Can you remember?  Anyone!  when we thought / the poets taught  even the rain?
After we died--That was it!--God left us in the dark. And as we forgot the dark, we forgot even the rain.
Drought was over. Where was I? Drinks were on the house. For mixers, my love, you'd poured--what?--even the rain.
Of this pear-shaped orange's perfumed twist, I will say: Extract Vermouth from the bergamot, even the rain.
How did the Enemy love you--with earth? air? and fire? He held just one thing back till he got even: the rain.
This is God's site for a new house of executions? You swear by the Bible, Despot, even the rain?
After the bones--those flowers--this was found in the urn: The lost river, ashes from the ghat, even the rain.
What was I to prophesy if not the end of the world? A salt pillar for the lonely lot, even the rain.
",i,Sad
13,"
I See Chile In My Rearview Mirror

This dream of water-what does it harbor? I see Argentina and Paraguay under a curfew of glass, their colors breaking, like oil. The night in Uruguay
is black salt. I'm driving toward Utah, keeping the entire hemisphere in viewColombia vermilion, Brazil blue tar, some countries wiped clean of color: Peru
is titanium white. And always oceans that hide in mirrors: when beveled edges arrest tides or this world's destinations forsake ships. There's Sedona, Nogales
far behind. Once I went through a mirrorfrom there too the world, so intact, resembled only itself. When I returned I tore the skin off the glass. The sea was unsealed
by dark, and I saw ships sink off the coast of a wounded republic. Now from a blur of tanks in Santiago, a white horse gallops, riderless, chased by drunk soldiers
in a jeep; they're firing into the moon. And as I keep driving in the desert, someone is running to catch the last bus, men hanging on to its sides. And he's missed it.
He is running again; crescents of steel fall from the sky. And here the rocks are under fog, the cedars a temple, Sedona carved by the wind into gods-
each shadow their worshiper. The siren empties Santiago; he watches -from a hush of windows-blindfolded men blurred in gleaming vans. The horse vanishes
into a dream. I'm passing skeletal figures carved in 700 B.C. Whoever deciphers these canyon walls remains forsaken, alone with history,
no harbor for his dream. And what else will this mirror now reason, filled with water? I see Peru without rain, Brazil without forests-and here in Utah a dagger
of sunlight: it's splitting-it's the summer solstice-the quartz center of a spiral. Did the Anasazi know the darker answer also-given now in crystal
by the mirrored continent? The solstice, but of winter? A beam stabs the window, diamonds him, a funeral in his eyes. In the lit stadium of Santiago,
this is the shortest day. He's taken there. Those about to die are looking at him, his eyes the ledger of the disappeared. What will the mirror try now? I'm driving,
still north, always followed by that country, its floors ice, its citizens so lovesick that the ground-sheer glass-of every city is torn up. They demand the republic
give back, jeweled, their every reflection. They dig till dawn but find only corpses. He has returned to this dream for his bones. The waters darken. The continent vanishes.
",i,Sad
14,"
K. L. Saigal

Nostalgic for Baba's youth, I make you return his wasted generation:
I know you felt it all: the ruined boys echoed
through you, switched their sorrow on the radio:
the needle turned to your legend. you always came
with notes of madness, the wireless sucked your
drunkenness: you quietly died, singing
them to a sleep of Time Counting the ruins
of decades, the boys were left, caressed
with the air's delirium. Now two generations
late, you retreat with my sanity, Death stuck in the throat!
",i,Sad
15,"
Land

Swear by the olive in the God-kissed land-- There is no sugar in the promised land.
Why must the bars turn neon now when, Love, I'm already drunk in your capitalist land?
If home is found on both sides of the globe, home is of course here--and always a missed land.
The hour's come to redeem the pledge (not wholly?) in Fate's 'Long years ago we made a tryst' land.
Clearly, these men were here only to destroy, a mosque now the dust of a prejudiced land.
Will the Doomsayers die, bitten with envy, when springtime returns to our dismissed land?
The prisons fill with the cries of children. Then how do you subsist, how do you persist, Land?
""Is my love nothing for I've borne no children?"" I'm with you, Sappho, in that anarchist land.
A hurricane is born when the wings flutter ... Where will the butterfly, on my wrist, land?
You made me wait for one who wasn't even there though summer had finished in that tourist land.
Do the blind hold temples close to their eyes when we steal their gods for our atheist land?
Abandoned bride, Night throws down her jewels so Rome--on our descent--is an amethyst land.
At the moment the heart turns terrorist, are Shahid's arms broken, O Promised Land? 
",i,Fear
16,"
Learning Urdu

From a district near Jammu, (Dogri stumbling through his Urdu) he comes, the victim of a continent broken in two in nineteen forty-seven. He mentions the minced air he ate while men dissolved in alphabets of blood, in syllables of death, of hate.
'I only remember half the word that was my village. The rest I forget. My memory belongs to the line of blood across which my friends dissolved into bitter stanzas of some dead poet.'
He wanted me to sympathize. I couldn't, I was only interested in the bitter couplets which I wanted him to explain. He continued,
'And I who knew Mir backwards, every couplet from the Diwan-e-Ghalib saw poetry dissolve into letters of blood.' He
Now remembers nothing while I find Ghalib at the crossroads of language, refusing to move to any side, masquerading as a beggar to see my theatre of kindness.
",i,Sad
17,"
Lenox Hill

(In Lenox Hill Hospital, after surgery, my mother said the sirens sounded like the elephants of Mihiragula when his men drove them off cliffs in the Pir Panjal Range.) The Hun so loved the cry, one falling elephant's, he wished to hear it again. At dawn, my mother heard, in her hospital-dream of elephants, sirens wail through Manhattan like elephants forced off Pir Panjal's rock cliffs in Kashmir: the soldiers, so ruled, had rushed the elephant, The greatest of all footprints is the elephant's, said the Buddha. But not lifted from the universe, those prints vanished forever into the universe, though nomads still break news of those elephants as if it were just yesterday the air spread the dye ( War's annals will fade into night / Ere their story die ),
the punishing khaki whereby the world sees us die out, mourning you, O massacred elephants! Months later, in Amherst, she dreamt: She was, with diamonds, being stoned to death. I prayed: If she must die, let it only be some dream. But there were times, Mother, while you slept, that I prayed, 'Saints, let her die.' Not, I swear by you, that I wished you to die but to save you as you were, young, in song in Kashmir, and I, one festival, crowned Krishna by you, Kashmir listening to my flute. You never let gods die. Thus I swear, here and now, not to forgive the universe that would let me get used to a universe
without you. She, she alone, was the universe as she earned, like a galaxy, her right not to die, defying the Merciful of the Universe, Master of Disease,  in the circle of her traverse of drug-bound time. And where was the god of elephants, plump with Fate, when tusk to tusk, the universe, dyed green, became ivory? Then let the universe, like Paradise, be considered a tomb. Mother, they asked me, So how's the writing? I answered My mother
is my poem. What did they expect? For no verse sufficed except the promise, fading, of Kashmir and the cries that reached you from the cliffs of Kashmir
(across fifteen centuries) in the hospital. Kashmir, she's dying! How her breathing drowns out the universe as she sleeps in Amherst. Windows open on Kashmir: There, the fragile wood-shrines--so far away--of Kashmir! O Destroyer, let her return there, if just to die. Save the right she gave its earth to cover her, Kashmir has no rights. When the windows close on Kashmir, I see the blizzard-fall of ghost-elephants. I hold back--she couldn't bear it--one elephant's story: his return (in a country far from Kashmir) to the jungle where each year, on the day his mother died, he touches with his trunk the bones of his mother.
'As you sit here by me, you're just like my mother,' she tells me. I imagine her: a bride in Kashmir, she's watching, at the Regal, her first film with Father. If only I could gather you in my arms, Mother, I'd save you--now my daughter--from God. The universe opens its ledger. I write: How helpless was God's mother! Each page is turned to enter grief's accounts. Mother, I see a hand. Tell me it's not God's. Let it die. I see it. It's filling with diamonds. Please let it die. Are you somewhere alive, somewhere alive, Mother? Do you hear what I once held back: in one elephant's cry, by his mother's bones, the cries of those elephants
that stunned the abyss? Ivory blots out the elephants. I enter this: The Beloved leaves one behind to die. For compared to my grief for you, what are those of Kashmir, and what (I close the ledger) are the griefs of the universe when I remember you--beyond all accounting--O my mother?
",i,Fear
18,"
Of Light

At dawn you leave. The river wears its skin of light. And I traced love's loss to the origin of light.
""I swallow down the goodbyes I won't get to use."" At grief's speed she waves from a palanquin of light.
My book's been burned? Send me the ashes, so I can say: I've been sent the phoenix in a coffin of light.
From History tears learn a slanted understanding of the human face torn by blood's bulletin of light.
It was a temporal thought. Well, it has vanished. Will Promethus commit the mortal sin of light?
She said, ""My name is icicles coming down from it..."" Did I leave it, somewhere, in a margin of light?
When I go off alone, as if listening for God, there's absolutely nothing I can win of light.
Now everything's left to the imagination a djinn has deprived even Aladdin of light.
We'll see Manhattan, a bride in diamonds, one day abashed to remind her sweet man, Brooklyn, of light.
""A cheekbone, / A curved piece of brow, / A pale eyelid..."" And the dark eye I make out with all within of light.
Stranger, when the river leans toward the emptiness, abandon, for my darkness, the thick and thin of light.
",i,Sad
19,"Andheri Local

In the women's compartment of a Bombay local we seek no personal epiphanies. Like metal licked by relentless acetylene we are welded-- dreams, disasters, germs, destinies, flesh and organza, odours and ovaries A thousand-limbed million-tongued, multi spoused Kali on wheels.
When I descend I could choose to dice carrots or a lover I postpone the latter.
",i,Sad
20,"
Another Way

To swing yourself from moment to moment, to weave a clause that leaves room for reminiscence and surprise, that breathes, welcomes commas, dips and soars through air-pockets of vowel, lingers over the granularity of consonant, never racing to the full-stop, content sometimes with the question mark, even if it's the oldest one in the book.
To stand in the vast howling, rain-gouged openness of a page, asking the question that has been asked before, knowing the gale of a thousand libraries will whip it into the dark.
To leave no footprints in the warm alluvium, no Dolby echoes to reverberate through prayer halls, no epitaphs, no saffron flags.
This was also a way of keeping the faith.
",i,Fear
21,"
Recycled

Driving through the Trossachs I see the picture I drew as a ?ve-year-old in Bombay ­ a rectangle with two square windows, isosceles roof, smoking chimney, and girl with yellow hair standing in the driveway, ?anked by two ?ower pots.
And there is comfort in knowing what we are so often told, that fancy has wings and dreams come true, even if it takes years for them to take root in some corner of a foreign land that is forever India.
",i,Fear
22,"
Rutting

There was nothing simple about it even then -
an eleven-year-old's hunger for the wet perfection
of the Alhambra, the musky torsos of football stars, ancient Egypt and Jacques Cousteau's
lurching empires of the sea, bazaars in Mughal India, the sacred plunge
into a Cadbury's Five Star bar, Kanchenjanga, kisses bluer than the Adriatic, honeystain of sunlight
on temple wall, a moon-lathered Parthenon, draught of northern air in Scottish castles. The child god craving
to pop a universe into one's mouth.
It's back again, the lust that is the deepest I have known,
celebrated by paperback romances in station bookstalls, by poets in the dungeons of Toledo, by bards crooning foreverness and gut-thump on FM radio in Bombay traffic jams -
an undoing, an unmaking, raw raw -
a monsoonal ferocity of need.
",i,Sad
23,"
Sister

Supple as wisteria her plait of hair across our beds my talisman at the age of five against torch-eyed gods and ancestors who leaked nocturnally out of cupboards, keyholes, the crevices of festering karmas.
Later we drank deep draughts of monsoon wind together, locked eyes in mistrust, littered our bedroom with books, fuzzy battle-lines, quivering dominions of love and malice, even as we ruptured time, scooping world upon world out of cavernous weekend afternoons through the alchemy of mutual dream turquoise summers over ruined Mycenae, the moon-watered stone of Egyptian temples, and those times we set the zephyr whispering under the black skies of Khorasan.
Clothes were never shared, diaries zealously guarded, but in the hour before the mind carves out its own fiefdoms of memory we dipped into the same dark estuaries of lust, grief and silted longing.
Now in rooms deodorised into neutrality, we sniff covertly for new secrets, new battles, new men, always careful to evade the sharp salinity of recollection, anything that could plunge us back to the roiling green swamp of our beginnings.
But tonight if I stood at my window it would take very little, or so it would seem, to swing myself across to that blazing pageant of peonies that is your Brooklyn back-garden, careening across continents on that long-vanished plait of hair, sleek with moonshine, fragrant with Atlantic breezes.
",i,Surprise
24,"
Strategist

The trick to deal with a body under siege is to keep things moving,
to be juggler at the moment when all the balls are up in the air, a whirling polka of asteroids and moons,
to be metrician of the innards, calibrating the jostle and squelch of commerce in those places where blood meets feeling.
Fear. Chill in the joints, primal rheumatism.
Envy. The marrow igloos into windowlessness.
Regret. Time stops in the throat. A piercing fishbone recollection of the sea.
Rage. Old friend. Ambassador to the world that I am.
The trick is not to noun yourself into corners. Water the plants. Go for a walk. Inhabit the verb.
",i,Surprise
25,"
The City And I

(returning to Bombay after November 26, 2008)
This time we didn't circle each other hackles raised, fur bristling.
This time there was space between us and we weren't competing.
Space enough and more
for the nose-digging librarian and her stainless steel tiffin box,
for the Little Theatre peon to read me his Marathi poems on rainy afternoons
for the woman on the 7.10 Bhayandar slow with green combs in her hair to say and say again, He's coming to get me. He's coming
This time the city surged towards me
mangy bruised-eyed non-vaccinated
suddenly mine.
",i,Surprise
26,"
The Same Questions

Again and again the same questions, my love, those that confront us and vex nations, or so they claim -
how to disarm when we still hear the rattle of sabre, the hiss of tyre from the time I rode my red cycle all those summers ago in my grandmother's back-garden over darting currents of millipede, watching them, juicy, bulging, with purpose, flatten in moments into a few hectic streaks of slime,
how to disarm, how to choose mothwing over metal, underbelly over claw, how to reveal raw white nerve fibre even while the drowsing mind still clutches at carapace and fang,
how to believe this gift of inner wrist is going to make it just a little easier for a whale to sing again in a distant ocean or a grasshopper to dream in some sunwarmed lull of savannah.
",i,Fear
27,"
To The Welsh Critic Who Doesn'T Find Me Identifiably Indian

You believe you know me, wide-eyed Eng Lit type from a sun-scalded colony, reading my Keats ­ or is it yours ­ while my country detonates on your television screen.
You imagine you've cracked my deepest fantasy ­ oh, to be in an Edwardian vicarage, living out my dharma with every sip of dandelion tea and dreams of the weekend jumble sale...
You may have a point. I know nothing about silly mid-offs, I stammer through my Tamil, and I long for a nirvana that is hermetic, odour-free, bottled in Switzerland, money-back-guaranteed.
This business about language, how much of it is mine, how much yours, how much from the mind, how much from the gut, how much is too little, how much too much, how much from the salon, how much from the slum, how I say verisimilitude, how I say Brihadaranyaka, how I say vaazhapazham ­ it's all yours to measure, the pathology of my breath,
the halitosis of gender, my homogenised plosives about as rustic as a mouth-freshened global village.
Arbiter of identity, remake me as you will. Write me a new alphabet of danger, a new patois to match the Chola bronze of my skin. Teach me how to come of age in a literature you've bark-scratched into scripture. Smear my consonants with cow-dung and turmeric and godhuli. Pity me, sweating, rancid, on the other side of the counter. Stamp my papers, lease me a new anxiety, grant me a visa to the country of my birth. Teach me how to belong, the way you do, on every page of world history.
",i,Fear
28,"
Tree

It takes a certain cussedness to be a tree in this city, a certain inflexible woodenness
to dig in your heels and hold your own amid lamp-posts sleek as mannequins and buildings that hold sun and glass together with more will-power than cement,
to continue that dated ritual, re-issuing a tireless maze of phalange and webbing, perpetuating that third world profusion of outstretched hand, each with its blaze of finger and more finger so many ways of tasting neon, so many ways of latticing a wind, so many ways of being ancillary to the self without resenting it.
",i,Fear
29,"
Winter, Delhi, 1997

My grandparents in January on a garden swing discuss old friends from Rangoon, the parliamentary session, chrysanthemums, an electricity bill.
In the shadows, I eavesdrop, eighth grandchild, peripheral, half-forgotten, enveloped carelessly by the great winter shawl of their affection.
Our dissensions are ceremonial. I growl obligingly when he speaks of a Hindu nation, he waves a dismissive hand when I threaten romance with a Pakistani cricketer.
But there is more that connects us than speech ?avoured with the tartness of old curd that links me ?eetingly to her, and a blurry outline of nose that links me to him, and there is more that connects us than their daughter who birthed me.
I ask for no more. Irreplaceable, I belong here like I never will again, my credentials never in question, my tertiary nook in a gnarled family tree non-negotiable.
And we both know they will never need me as much as I, them. The inequality is comforting.

",i,Fear
30,"
Catnap

This shoebox started out a stiff-upper-lipped quadrilateral, Upholder of Symmetry, Proportion, Principle, sanctuary to an upright couple of pedigree leather moccasins.
This week shoebox learns to sigh de-
cant, contemplate gravity.
Old idealist softens, grows whiskers, paw, drowsing chin, slumped tail, Arctic eye.
Form is emptiness Emptiness is form, Shariputra.
Shoebox abdicates shape and Gucci worship,
secedes from nostalgia.
Pukka sahib learns to purr.
",i,Sad
31,"
Confession

'To take a homeopathic approach to the soul is to deal with the darkness in ways that are in tune with the dark.'
---Thomas Moore It's taken time to realise no one survives. Not even the ordinary.
Time to own up then to blue throat and gall bladder extraordinaire,
to rages pristine, guilt unsmeared by mediocrity,
separation traumas subcontinental and griefs that dare to be primordial.
Time to iron out a face corrugated by perennial hope,
time to shrug off the harlotry and admit there's nothing hygienic about this darkness ­ no potted palms, no elevator music.
I erupt from pillars, half-lion half-woman.
The ?oor space index I demand is nothing short of epic.
I still wait sometimes for a ?icker of revelation but for the most part I'm unbribable.
When I open the coffee percolator the roof ?ies off.
",i,Sad
32,"
Demand

And on days like this nothing else will do.
Nothing but that whisper of breath against the ear.
Breath that's warm like the sigh of palmyra trees in Tirunelveli plantations.
Breath that's crisp like linen, rice-starched, dhoop-soaked, in a family cupboard.
Breath to be trusted,
with a thread maybe of something your foremothers never knew, or pretended not to the spice-mist of hookah on winter nights in Isfahan, or raw splatter of Himalayan rain, or wine baroque with the sun of al-Andalus.
Breath of outsider, ancestor, friend,
who leaves nothing more than this signature of air against skin, reminding you
that there's nothing respectable about family linen when cupboard doors close,
reminding you that this this uncensored wilderness of greed is simply or not so simply -
body.
",i,Surprise
33,"
Heirloom

My grandmother, wise even at eight, hid under her bed when her first suitor came home.
Grave and serene her features, defined as majestically as a head on an old coin, I realise through photographs, clouded by the silt of seasons, like the patina of age on Kanjeevaram silks, that in her day, girls of eight didn't have broken teeth or grazed elbows.
Now in her kitchen, she quietly stirs ancestral aromas of warm coconut lullabies, her voice tracing the familiar mosaic of family fables, chipped by repetition.
And yet, in the languorous swirl of sari, she carries the secret of a world where nayikas still walk with the liquid tread of those who know their bodies as well as they know their minds, still glide down deserted streets - to meet dark forbidden paramours whose eyes smoulder like lanterns in winter and return before sunset, the flowers in their hair radiating the perfume of an unrecorded language of romance.
The secret of a world that she refuses to bequeath with her recipes
and her genes. 
",i,Sad
34,"
Home

Give me a home that isn't mine, where I can slip in and out of rooms without a trace, never worrying about the plumbing, the colour of the curtains, the cacophony of books by the bedside.
A home that I can wear lightly, where the rooms aren't clogged with yesterday's conversations, where the self doesn't bloat to fill in the crevices.
A home, like this body, so alien when I try to belong, so hospitable when I decide I'm just visiting.
",i,Fear
35,"
I Live On A Road

I live on a road, a long magic road, full of beautiful people.
The women cultivate long mocha legs and the men sculpt their torsos right down to the designer curlicue of hair under each arm. The lure is the same: to confront self with self in this ancient city of mirrors that can bloat you into a centrespread, dismantle you into eyes, hair, teeth, butt, shrink you into a commercial break, explode you into 70 mm immortality.
But life on this road is about waiting ­ about austerities at the gym and the beauty parlour, about prayer outside the shrines of red-eyed producers, about PG digs waiting to balloon into penthouses, auto rickshaws into Ferraris, mice into chauffeurs.
Blessed by an epidemic of desperate hope, at any moment, my road might beanstalk to heaven.
",i,Fear
